x,y,z,yaw,x desired,y desired,z desired,yaw desired,time
0.01772,-0.0037399999999999998,0.75797999999999999,-1.19102,1.5,0.0,0.5,-3.1415899999999999,1676564167.27352
0.01934,-0.0040499999999999998,0.77893000000000001,-1.2286900000000001,1.5,0.0,0.5,-3.1415899999999999,1676564167.3236699
0.021409999999999998,-0.0044600000000000004,0.80691000000000002,-1.27542,1.5,0.0,0.5,-3.1415899999999999,1676564167.3782899
0.024219999999999998,-0.0050000000000000001,0.84031,-1.33521,1.5,0.0,0.5,-3.1415899999999999,1676564167.4237599
0.027289999999999998,-0.0055799999999999999,0.87111000000000005,-1.3993800000000001,1.5,0.0,0.5,-3.1415899999999999,1676564167.4735799
0.028160000000000001,-0.0057299999999999999,0.87878000000000001,-1.4168499999999999,1.5,0.0,0.5,-3.1415899999999999,1676564167.5597601
0.029399999999999999,-0.0059699999999999996,0.88988,-1.44319,1.5,0.0,0.5,-3.1415899999999999,1676564167.5738699
0.032870000000000003,-0.0066600000000000001,0.91241000000000005,-1.50664,1.5,0.0,0.5,-3.1415899999999999,1676564167.6236401
0.035180000000000003,-0.0071799999999999998,0.92749999999999999,-1.5504199999999999,1.5,0.0,0.5,-3.1415899999999999,1676564167.67274
0.038559999999999997,-0.0080599999999999995,0.95543999999999996,-1.60727,1.5,0.0,0.5,-3.1415899999999999,1676564167.7232399
0.041799999999999997,-0.0089599999999999992,0.97977000000000003,-1.65856,1.5,0.0,0.5,-3.1415899999999999,1676564167.7742901
0.043920000000000001,-0.00958,0.99412,-1.68893,1.5,0.0,0.5,-3.1415899999999999,1676564167.82393
0.045909999999999999,-0.010149999999999999,1.0081500000000001,-1.71715,1.5,0.0,0.5,-3.1415899999999999,1676564167.8984001
0.04845,-0.01093,1.0254399999999999,-1.7518100000000001,1.5,0.0,0.5,-3.1415899999999999,1676564167.9242301
0.052310000000000002,-0.012120000000000001,1.0448599999999999,-1.7933699999999999,1.5,0.0,0.5,-3.1415899999999999,1676564167.9940701
0.05645,-0.01337,1.0576000000000001,-1.83856,1.5,0.0,0.5,-3.1415899999999999,1676564168.0237999
0.059920000000000001,-0.01434,1.06532,-1.8814299999999999,1.5,0.0,0.5,-3.1415899999999999,1676564168.13778
0.059920000000000001,-0.01434,1.06532,-1.8814299999999999,1.5,0.0,0.5,-3.1415899999999999,1676564168.1383801
0.066019999999999995,-0.01576,1.0782,-1.9439599999999999,1.5,0.0,0.5,-3.1415899999999999,1676564168.17364
0.068690000000000001,-0.016279999999999999,1.08294,-1.9690099999999999,1.5,0.0,0.5,-3.1415899999999999,1676564168.2614999
0.068690000000000001,-0.016279999999999999,1.08294,-1.9690099999999999,1.5,0.0,0.5,-3.1415899999999999,1676564168.27391
0.072190000000000004,-0.016820000000000002,1.0903499999999999,-2.0013899999999998,1.5,0.0,0.5,-3.1415899999999999,1676564168.3255999
0.073859999999999995,-0.01704,1.0960099999999999,-2.0168300000000001,1.5,0.0,0.5,-3.1415899999999999,1676564168.4015801
0.077160000000000006,-0.01736,1.1085700000000001,-2.04583,1.5,0.0,0.5,-3.1415899999999999,1676564168.42541
